Elementi;;Vrednost
2527777.77777778;e=;30000000
937500;ni=;0.2
-20833.3333333333;t=;0.2
104166.666666667;a=;0.625
-90277.7777777778;b=;0.5
-104166.666666667;;
-250000;;
-104166.666666667;;
-1291666.66666667;;
-416666.666666667;;
388888.888888889;;
416666.666666667;;
513888.888888889;;
416666.666666667;;
-333333.333333333;;
416666.666666667;;
-1444444.44444444;;
-1666666.66666667;;
937500;;
3052777.77777778;;
-104166.666666667;;
-518750;;
-104166.666666667;;
-109027.777777778;;
104166.666666667;;
191666.666666667;;
416666.666666667;;
504166.666666667;;
416666.666666667;;
738888.888888889;;
416666.666666667;;
351388.888888889;;
-416666.666666667;;
-2466666.66666667;;
-1666666.66666667;;
-1744444.44444444;;
-20833.3333333333;;
-104166.666666667;;
2527777.77777778;;
-937500;;
-250000;;
104166.666666667;;
-90277.7777777778;;
104166.666666667;;
-1291666.66666667;;
416666.666666667;;
-333333.333333333;;
-416666.666666667;;
513888.888888889;;
-416666.666666667;;
388888.888888889;;
-416666.666666667;;
-1444444.44444444;;
1666666.66666667;;
104166.666666667;;
-518750;;
-937500;;
3052777.77777778;;
-104166.666666667;;
191666.666666667;;
104166.666666667;;
-109027.777777778;;
-416666.666666667;;
504166.666666667;;
416666.666666667;;
-2466666.66666667;;
-416666.666666667;;
351388.888888889;;
-416666.666666667;;
738888.888888889;;
1666666.66666667;;
-1744444.44444444;;
-90277.7777777778;;
-104166.666666667;;
-250000;;
-104166.666666667;;
2527777.77777778;;
937500;;
-20833.3333333333;;
104166.666666667;;
513888.888888889;;
416666.666666667;;
-333333.333333333;;
416666.666666667;;
-1291666.66666667;;
-416666.666666667;;
388888.888888889;;
416666.666666667;;
-1444444.44444444;;
-1666666.66666667;;
-104166.666666667;;
-109027.777777778;;
104166.666666667;;
191666.666666667;;
937500;;
3052777.77777778;;
-104166.666666667;;
-518750;;
416666.666666667;;
351388.888888889;;
-416666.666666667;;
-2466666.66666667;;
416666.666666667;;
504166.666666667;;
416666.666666667;;
738888.888888889;;
-1666666.66666667;;
-1744444.44444444;;
-250000;;
104166.666666667;;
-90277.7777777778;;
104166.666666667;;
-20833.3333333333;;
-104166.666666667;;
2527777.77777778;;
-937500;;
513888.888888889;;
-416666.666666667;;
388888.888888889;;
-416666.666666667;;
-1291666.66666667;;
416666.666666667;;
-333333.333333333;;
-416666.666666667;;
-1444444.44444444;;
1666666.66666667;;
-104166.666666667;;
191666.666666667;;
104166.666666667;;
-109027.777777778;;
104166.666666667;;
-518750;;
-937500;;
3052777.77777778;;
-416666.666666667;;
351388.888888889;;
-416666.666666667;;
738888.888888889;;
-416666.666666667;;
504166.666666667;;
416666.666666667;;
-2466666.66666667;;
1666666.66666667;;
-1744444.44444444;;
-1291666.66666667;;
416666.666666667;;
-1291666.66666667;;
-416666.666666667;;
513888.888888889;;
416666.666666667;;
513888.888888889;;
-416666.666666667;;
7444444.44444444;;
0;;
-1444444.44444444;;
-1666666.66666667;;
-333333.333333333;;
0;;
-1444444.44444444;;
1666666.66666667;;
-2666666.66666667;;
0;;
-416666.666666667;;
504166.666666667;;
416666.666666667;;
504166.666666667;;
416666.666666667;;
351388.888888889;;
-416666.666666667;;
351388.888888889;;
0;;
11144444.4444444;;
-1666666.66666667;;
-1744444.44444444;;
0;;
1033333.33333333;;
1666666.66666667;;
-1744444.44444444;;
0;;
-10400000;;
388888.888888889;;
416666.666666667;;
-333333.333333333;;
416666.666666667;;
-333333.333333333;;
-416666.666666667;;
388888.888888889;;
-416666.666666667;;
-1444444.44444444;;
-1666666.66666667;;
8444444.44444444;;
0;;
-1444444.44444444;;
1666666.66666667;;
333333.333333333;;
0;;
-6000000;;
0;;
416666.666666667;;
738888.888888889;;
-416666.666666667;;
-2466666.66666667;;
416666.666666667;;
-2466666.66666667;;
-416666.666666667;;
738888.888888889;;
-1666666.66666667;;
-1744444.44444444;;
0;;
8044444.44444444;;
1666666.66666667;;
-1744444.44444444;;
0;;
-1033333.33333333;;
0;;
-66666.666666667;;
513888.888888889;;
416666.666666667;;
513888.888888889;;
-416666.666666667;;
-1291666.66666667;;
416666.666666667;;
-1291666.66666667;;
-416666.666666667;;
-333333.333333333;;
0;;
-1444444.44444444;;
1666666.66666667;;
7444444.44444444;;
0;;
-1444444.44444444;;
-1666666.66666667;;
-2666666.66666667;;
0;;
416666.666666667;;
351388.888888889;;
-416666.666666667;;
351388.888888889;;
-416666.666666667;;
504166.666666667;;
416666.666666667;;
504166.666666667;;
0;;
1033333.33333333;;
1666666.66666667;;
-1744444.44444444;;
0;;
11144444.4444444;;
-1666666.66666667;;
-1744444.44444444;;
0;;
-10400000;;
-333333.333333333;;
-416666.666666667;;
388888.888888889;;
-416666.666666667;;
388888.888888889;;
416666.666666667;;
-333333.333333333;;
416666.666666667;;
-1444444.44444444;;
1666666.66666667;;
333333.333333333;;
0;;
-1444444.44444444;;
-1666666.66666667;;
8444444.44444444;;
0;;
-6000000;;
0;;
416666.666666667;;
-2466666.66666667;;
-416666.666666667;;
738888.888888889;;
416666.666666667;;
738888.888888889;;
-416666.666666667;;
